NoirLab,SOAR,SPARC4,2026A,Example,Type,Allowed_Values,Comment
,,ANALANG,,,float,360,Analyzer position angle (deg)
,,ACQERROR,,,boolean,"true,false",Acquisition error - see comments
WEIGHT,,,,0.8,Float,,This is the median over all pixels of the weight map
BLANK,,,,0,Integer,,Value used for NULL pixels
DATE,DATE,,,2001-08-19T09:34:52.676',String,,Date the file was written
DATAMAX,,,,43212,Float,,Maximal pixel value
DATAMIN,,,,323,Float,,Minimal pixel value
RADESYS,,,,FK5',String,,Reference system
TEXPTIME,,,,240,Float,,"The arithmetic sum of the integration time of all exposures included in this
product (s)."
NCOMBINE,,,,1,Integer,,"Number of raw science data files that were combined to generate this data
product"
MJD-OBS,,,,52140.39805,Float,,MJD at exposure start (d)
MJD-END,,,,52140.39875,Float,,MJD at exposure end (d)
DATE-END,,,,2001-08-19T09:34:51.950',String,,Exposure end
TIMESYS,,,,‘UTC’,String,,Time system used
LST,LST,,,19:51:15.380,String,,LST at start (s)
PI-COI,,,,‘SCIENTIST’,String,,Name of the PI/Co-I
OBID,,,,311,Integer,,Observation Block ID run number
DISPELEM,,,,‘LR_blue’,String,,Dispersion element name
ARCFILE,,,,20251105_S4C1_00001.fits',String,,Archive file name
PRODCATG,,,,‘SCIENCE.IMAGE’,String,,Data product category
PROCSOFT,,,,‘Chimera v1.99’,String,,Version of the software used to produce this data product
REFERENC,,,,1924MNRAS..84..308E',String,,"Primary scientific publication associated with this data
product"
PROVi,,,,‘20251105_S4C1_00001’,String,,"Processing provenance in terms of the list of science files originating this
data product"
CHECKSUM,,,CHECKSUM,B5445389D6586A3E',String,,HDU checksum
DATASUM,,,DATASUM,0265279410’,String,,Data unit checksum
COMMENT,,,,‘Any comment’,String,,
